accuracy,loss,val_accuracy,val_loss,learning_rate
0.6145846843719482,1.186877965927124,0.7480356693267822,0.8663943409919739,0.0010000000474974513
0.717588484287262,0.7936686873435974,0.8164410591125488,0.661776602268219,0.0010000000474974513
0.7389107942581177,0.6720678210258484,0.8573786616325378,0.5858058333396912,0.0010000000474974513
0.7718777060508728,0.5814151763916016,0.5650049448013306,1.0676037073135376,0.0010000000474974513
0.802269458770752,0.49350300431251526,0.855661928653717,0.48224595189094543,0.0010000000474974513
0.8444048166275024,0.4520280659198761,0.9036645889282227,0.4219013452529907,0.0010000000474974513
0.8091175556182861,0.5265594720840454,0.7203697562217712,0.7344438433647156,0.0010000000474974513
0.8464705348014832,0.47144702076911926,0.8727632761001587,0.45919671654701233,0.0010000000474974513
0.8809372186660767,0.36383792757987976,0.8316936492919922,0.5569923520088196,0.0010000000474974513
0.8832293152809143,0.31289681792259216,0.9280290603637695,0.3195447027683258,0.0010000000474974513
0.8817012310028076,0.32876214385032654,0.9379333257675171,0.25499221682548523,0.0010000000474974513
0.9005334377288818,0.2638661563396454,0.9263123273849487,0.2911355495452881,0.0010000000474974513
0.8961896896362305,0.26423153281211853,0.9432815909385681,0.233979269862175,0.0010000000474974513
0.8999391794204712,0.2605266869068146,0.9411026835441589,0.23059384524822235,0.0010000000474974513
0.898029088973999,0.26915243268013,0.9089468717575073,0.3249610960483551,0.0010000000474974513
0.9036744832992554,0.24477213621139526,0.9218884110450745,0.2841930091381073,0.0010000000474974513
0.9224358797073364,0.18535153567790985,0.9008253812789917,0.3331347703933716,0.0010000000474974513
0.919337272644043,0.19335691630840302,0.9430174827575684,0.2172478586435318,0.0010000000474974513
0.9224075675010681,0.18049269914627075,0.9471772909164429,0.17902778089046478,0.0010000000474974513
0.9188278913497925,0.2014109045267105,0.9640805721282959,0.14468343555927277,0.0010000000474974513
0.9274304509162903,0.17517702281475067,0.9535820484161377,0.17731118202209473,0.0010000000474974513
0.9324108362197876,0.1545064002275467,0.9329811930656433,0.21463817358016968,0.0010000000474974513
0.9193513989448547,0.18712320923805237,0.9510069489479065,0.1785976141691208,0.0010000000474974513
0.929227352142334,0.14914610981941223,0.9555628895759583,0.15139144659042358,0.0010000000474974513
0.921162486076355,0.19122573733329773,0.9419610500335693,0.19333460927009583,0.0010000000474974513
0.9295669198036194,0.1711658090353012,0.9535820484161377,0.163609579205513,0.0005000000237487257
0.9394711256027222,0.13409966230392456,0.951138973236084,0.160751610994339,0.0005000000237487257
0.9402775764465332,0.1283281147480011,0.9512710571289062,0.153429314494133,0.0005000000237487257
0.94353187084198,0.12156446278095245,0.9516671895980835,0.14389146864414215,0.0005000000237487257
0.9415368437767029,0.1375020295381546,0.9508088231086731,0.1569949835538864,0.0005000000237487257
0.9464182257652283,0.1320672333240509,0.963750422000885,0.11483262479305267,0.0005000000237487257
0.9485688209533691,0.12029848247766495,0.9593265056610107,0.13441504538059235,0.0005000000237487257
0.9455551505088806,0.11821801960468292,0.9654671549797058,0.10656800121068954,0.0005000000237487257
0.9507760405540466,0.0985075905919075,0.9689666628837585,0.10307183116674423,0.0005000000237487257
0.9523324370384216,0.09668894857168198,0.9628260135650635,0.11747141182422638,0.0005000000237487257
0.9516249895095825,0.09805633872747421,0.9593925476074219,0.12835320830345154,0.0005000000237487257
0.9490498900413513,0.09934452921152115,0.9715417623519897,0.09225282818078995,0.0005000000237487257
0.9494318962097168,0.10365468263626099,0.959458589553833,0.12762807309627533,0.0005000000237487257
0.9555866718292236,0.09833396971225739,0.9695609211921692,0.09956260025501251,0.0005000000237487257
0.9535917043685913,0.09205640852451324,0.9538461565971375,0.13869452476501465,0.0005000000237487257
0.9586287140846252,0.0793510153889656,0.9574776887893677,0.12339881807565689,0.0005000000237487257
0.9522758722305298,0.09110985696315765,0.9634863138198853,0.11482421308755875,0.0005000000237487257
0.9598596692085266,0.0706462562084198,0.968042254447937,0.10147472470998764,0.0002500000118743628
0.9623357057571411,0.067474365234375,0.9655991792678833,0.10759198665618896,0.0002500000118743628
0.9627318382263184,0.08784782886505127,0.9677121043205261,0.10186838358640671,0.0002500000118743628
0.9629016518592834,0.0667632445693016,0.9613733887672424,0.11720480769872665,0.0002500000118743628
0.9645853638648987,0.06193951517343521,0.9703532457351685,0.0899442657828331,0.0002500000118743628
0.9655616283416748,0.06283530592918396,0.9682403206825256,0.09310251474380493,0.0002500000118743628
0.9643023610115051,0.06330128759145737,0.9719379544258118,0.09009972959756851,0.0002500000118743628
0.9651088714599609,0.06288062036037445,0.9739187955856323,0.08319438993930817,0.0002500000118743628
